	Series1_NHBE_Mock_1	Series1_NHBE_Mock_2	Series1_NHBE_Mock_3	Series1_NHBE_SARS-CoV-2_1	Series1_NHBE_SARS-CoV-2_2	Series1_NHBE_SARS-CoV-2_3	Series9_NHBE_Mock_1	Series9_NHBE_Mock_2	Series9_NHBE_Mock_3	Series9_NHBE_IAV_1	Series9_NHBE_IAV_2	Series9_NHBE_IAV_3
MT1G	13	30	33	11	9	35	158	211	24	223	47	117
MT1H	3	1	10	1	1	11	9	27	2	18	3	9
MT1IP	0	0	0	0	0	0	0	0	0	0	0	0
MT1X	2107	1826	2963	1553	1312	4597	1181	1313	1520	3427	989	1916
NUP93	540	432	659	511	491	1460	473	456	532	2179	523	478
MIR138-2	0	0	0	0	0	0	0	0	0	0	0	0
SLC12A3	0	0	0	2	1	0	0	0	0	0	0	0
HERPUD1	833	753	1268	715	777	2232	400	465	541	4608	1039	1187
CETP	0	0	0	0	0	0	0	0	0	0	1	0
NLRC5	48	45	42	35	42	82	11	17	8	70	30	86
CPNE2	317	265	362	290	251	824	122	129	90	429	115	95
FAM192A	1178	1029	1676	943	955	2907	440	437	478	1601	428	376
RSPRY1	418	373	684	355	344	1087	186	189	288	1656	328	332
ARL2BP	550	479	960	463	431	1309	370	349	579	2689	513	564
PLLP	59	50	86	37	44	116	55	68	104	348	80	54
CCL22	5	1	5	5	6	22	3	1	4	6	1	3
CX3CL1	23	18	36	15	10	54	3	2	2	6	4	27
CCL17	0	1	0	0	1	0	0	1	0	0	1	0
CIAPIN1	505	435	750	444	453	1530	388	375	464	1995	494	505
COQ9	616	547	838	503	537	1552	271	287	335	955	251	298
POLR2C	469	434	697	433	389	1190	318	327	505	2102	491	458
DOK4	295	306	521	410	292	923	180	190	247	722	193	171
CCDC102A	29	19	43	26	22	75	16	13	14	48	8	13
KATNB1	163	133	220	220	135	444	167	179	154	761	154	201
KIFC3	258	240	318	344	233	759	369	368	453	1934	473	389
CNGB1	22	12	23	33	27	61	3	7	8	34	9	14
TEPP	8	19	16	18	30	66	7	5	3	24	5	11
ZNF319	221	244	334	329	255	748	98	93	108	532	139	133
USB1	1030	896	1372	1210	1084	3166	504	548	556	2778	704	609
MMP15	574	609	829	551	438	1329	196	215	238	695	132	269
CSNK2A2	566	480	727	456	493	1529	163	191	218	1316	293	326
CCDC113	246	212	361	181	180	643	53	53	62	268	48	127
PRSS54	1	3	2	2	2	11	0	0	0	0	0	0
GINS3	83	73	124	84	85	245	79	88	76	288	56	55
NDRG4	178	168	222	215	164	535	42	45	39	245	70	35
SETD6	84	107	138	98	95	270	63	53	88	242	37	63
CNOT1	5226	4371	7154	3663	3968	10977	844	793	738	5322	1306	1520
SNORA46	0	0	5	2	0	1	0	0	0	0	0	0
SLC38A7	366	267	452	260	273	836	274	255	242	1352	315	275
GOT2	1931	1622	2770	1879	1935	5362	1264	1318	1556	6882	1628	1600
CDH8	6	13	16	6	6	18	1	2	2	8	1	3
CDH11	337	267	435	294	286	966	187	184	209	1573	364	156
CDH5	4	5	7	5	8	23	0	2	0	1	1	0
BEAN1	4	11	4	8	8	15	1	0	4	8	3	5
TK2	358	267	413	268	257	767	108	96	127	440	100	155
CKLF	6	7	11	8	3	8	5	3	3	8	4	3
CKLF-CMTM1	0	0	0	0	0	0	0	0	0	0	0	0
CMTM1	8	8	7	14	7	16	0	2	2	14	1	1
CMTM2	0	0	0	0	0	0	1	1	0	8	0	0
CMTM3	229	218	350	234	213	717	124	137	156	656	138	103
CMTM4	816	873	1550	757	694	2208	267	247	270	1598	360	562
DYNC1LI2	2784	2465	4320	2311	2406	6966	675	740	948	4786	1143	1171
NAE1	351	400	962	317	302	988	322	392	700	2342	457	678
CA7	0	0	0	1	1	0	0	0	0	0	1	0
PDP2	219	214	408	214	231	616	92	77	83	507	90	133
CDH16	1	0	0	2	3	3	15	12	15	24	4	20
RRAD	38	48	59	66	31	141	149	120	227	430	107	162
CES2	1382	1358	2061	1148	1140	3574	846	928	993	2211	538	1379
CES3	27	32	49	22	31	61	21	24	18	27	5	26
CES4A	44	40	70	42	43	100	15	18	29	94	19	18
CBFB	308	279	525	287	289	791	137	151	317	1404	238	261
C16orf70	247	259	431	212	199	572	119	143	129	567	95	151
B3GNT9	126	124	172	92	109	267	42	35	44	117	21	31
TRADD	212	177	269	190	119	449	184	182	266	626	143	167
FBXL8	10	7	13	3	3	17	11	12	20	31	7	15
HSF4	43	69	51	34	28	59	10	12	13	58	6	12
NOL3	334	350	546	331	305	941	141	115	204	465	93	135
KIAA0895L	196	174	293	182	153	561	83	74	84	216	67	65
EXOC3L1	1	0	1	0	0	0	3	1	4	16	2	3
E2F4	600	598	863	753	650	1859	509	470	551	2408	486	466
ELMO3	277	311	350	347	194	734	263	258	380	1199	258	259
MIR328	0	0	0	0	0	0	0	0	0	0	0	0
LRRC29	12	16	22	13	6	22	6	8	7	27	6	7
TMEM208	284	237	368	240	214	784	116	124	308	776	192	230
FHOD1	317	314	464	305	304	860	351	331	454	2368	473	345
SLC9A5	45	53	76	42	50	138	24	28	30	111	25	27
PLEKHG4	39	52	53	49	39	84	46	48	103	257	59	67
KCTD19	0	0	1	0	0	0	0	0	0	0	1	0
LRRC36	0	1	1	0	1	5	0	0	0	0	0	0
TPPP3	1	1	0	0	2	5	1	1	1	5	0	1
ZDHHC1	48	53	67	58	31	126	33	29	45	137	30	34
HSD11B2	19	18	44	24	18	49	5	20	13	16	6	14
ATP6V0D1	989	852	1268	971	740	2457	707	636	819	3929	955	909
AGRP	0	0	0	0	0	0	0	1	0	0	0	0
CTCF	916	710	1268	610	732	2065	251	249	286	1534	306	347
ACD	171	181	234	209	163	442	118	128	91	404	139	68
PARD6A	2	4	4	8	0	14	0	2	5	8	2	3
ENKD1	34	29	41	46	36	108	42	45	59	140	38	31
C16orf86	0	1	1	4	0	1	1	0	1	7	0	1
GFOD2	277	295	420	314	221	791	166	143	269	727	173	189
RANBP10	441	365	587	352	338	1031	132	101	104	767	207	162
TSNAXIP1	6	5	13	4	6	36	2	2	8	7	1	4
CENPT	585	590	798	596	555	1650	298	277	408	1051	295	214
THAP11	80	65	84	79	66	182	92	89	122	321	87	53
NUTF2	2137	1781	2903	1719	1743	5492	877	860	980	2913	821	740
EDC4	586	534	805	628	491	1446	359	379	429	1882	514	459
NRN1L	0	1	1	0	0	0	1	0	2	1	3	4
PSKH1	259	253	357	283	216	672	144	132	163	696	189	200
CTRL	0	2	4	4	9	9	1	3	4	22	5	4
PSMB10	94	111	130	131	86	268	73	67	114	304	67	64
LCAT	86	85	73	72	69	156	49	40	49	215	39	30
SLC12A4	750	734	1061	846	741	2127	363	354	387	2314	574	418
DPEP3	0	0	0	0	0	0	0	0	0	0	0	0
DPEP2	0	0	0	1	0	2	0	0	0	0	1	0
DDX28	49	56	79	68	57	240	56	61	105	297	68	66
NFATC3	315	312	548	249	268	744	158	146	160	717	189	186
ESRP2	1318	1217	1746	1236	1014	3252	523	586	734	2500	559	565
PLA2G15	235	243	314	210	158	464	95	82	122	551	131	120
SLC7A6	550	516	875	569	522	1612	268	245	309	1859	439	437
SLC7A6OS	275	276	406	280	260	728	32	33	66	175	53	52
PRMT7	143	123	177	134	114	345	144	137	154	508	100	157
SMPD3	0	1	0	1	0	0	5	2	9	7	3	7
ZFP90	410	389	717	303	327	991	90	100	107	389	88	128
CDH3	15638	15302	21033	17256	14823	41143	4873	4872	4559	20202	5167	4364
CDH1	12021	11542	17877	9270	10042	29250	3213	3303	3243	17674	3849	5219
TANGO6	226	162	352	180	195	531	94	92	140	777	199	131
HAS3	1574	1417	2297	1861	1743	4823	682	654	830	3697	904	903
CHTF8	1315	1145	1948	1074	1106	3240	409	358	524	2861	633	619
SNTB2	394	347	549	274	247	855	103	116	107	705	142	152
VPS4A	1278	1100	1716	1077	1137	3418	680	657	780	3809	911	841
COG8	193	189	300	204	184	573	98	117	122	381	86	109
PDF	0	0	0	0	0	0	8	10	24	28	6	10
NIP7	490	350	684	410	428	1525	276	303	523	2038	437	441
TMED6	1	6	4	2	1	1	5	6	5	27	7	3
TERF2	412	424	573	389	377	1077	118	110	121	675	113	145
CYB5B	997	805	1528	834	852	2521	743	752	853	3756	823	755
MIR1538	0	0	0	0	0	0	0	0	0	0	0	0
NFAT5	622	717	1163	612	507	1601	158	161	157	1280	235	318
NQO1	1812	1585	2563	1419	1526	4198	763	864	1081	5492	1126	592
NOB1	774	734	1083	767	655	2065	360	366	513	2164	530	424
WWP2	397	368	568	391	340	1037	186	209	205	1311	294	210
MIR140	0	1	0	0	0	0	0	0	0	0	0	0
CLEC18A	1	1	0	1	0	12	0	2	2	6	1	1
MIR1972-1	0	0	0	0	0	0	0	0	0	0	0	0
MIR1972-2	0	0	0	0	0	0	0	0	0	0	0	0
PDPR	651	564	900	483	464	1454	216	199	169	1111	300	328
CLEC18C	0	0	2	0	0	0	0	0	1	0	0	0
EXOSC6	201	194	225	165	168	470	110	80	167	432	108	90
AARS	1366	1110	1854	1110	1202	3298	550	555	468	2852	779	476
DDX19B	187	136	247	162	130	375	75	107	103	425	100	103
LOC100506083	11	5	17	0	5	19	2	0	5	3	4	2
DDX19A	410	420	741	458	427	1243	301	293	315	1315	295	365
ST3GAL2	94	89	120	97	92	258	60	42	60	249	54	64
FUK	100	104	106	104	53	253	69	87	115	367	78	103
COG4	639	529	936	494	515	1673	264	281	337	1214	356	296
SF3B3	2515	1966	3171	1852	2165	6390	924	982	929	4596	1173	1203
SNORD111B	0	0	0	0	0	0	0	0	0	0	0	0
SNORD111	1	1	0	0	0	0	0	0	0	0	0	0
IL34	2	11	9	0	5	20	1	1	4	0	1	2
MTSS1L	1196	1289	1752	997	805	2382	398	387	423	1275	295	551
VAC14	294	287	472	281	199	736	173	228	174	1067	235	258
HYDIN	11	7	4	4	2	18	2	1	0	36	6	2
CALB2	1	4	1	2	1	9	3	4	14	1	3	0
ZNF23	168	153	239	123	150	399	59	50	104	479	86	134
ZNF19	19	18	12	18	11	52	4	2	4	44	7	3
CHST4	10	6	12	8	6	14	6	8	9	21	5	8
TAT	4	6	3	0	1	3	0	0	0	8	0	6
MARVELD3	444	522	752	405	376	1207	174	206	233	522	129	216
PHLPP2	181	185	321	145	166	491	63	70	66	546	117	101
SNORA70D	0	0	0	0	0	0	0	0	0	0	0	0
AP1G1	1467	1294	2540	1210	1237	3711	472	485	547	3949	876	1070
SNORD71	0	1	0	0	0	4	0	0	0	4	0	0
ATXN1L	1137	1021	1650	915	1028	2872	264	212	239	1946	470	504
ZNF821	79	64	93	75	60	177	29	23	22	79	22	20
IST1	1267	1033	1714	976	1045	3178	476	502	648	3010	722	639
PKD1L3	0	0	0	1	0	0	0	2	1	14	5	4
DHODH	83	54	78	65	64	201	30	42	60	211	38	61
HP	0	0	0	0	0	7	1	0	0	0	0	0
HPR	0	0	0	0	0	0	0	0	0	0	0	0
TXNL4B	95	105	156	81	77	228	64	77	103	476	87	98
DHX38	1314	1114	1855	1231	1226	3511	452	436	464	2421	679	601
PMFBP1	3	3	5	5	1	5	0	0	1	1	0	5
ZFHX3	498	490	743	437	438	1261	106	115	120	814	206	140
PSMD7	2242	2001	3233	2056	2123	6508	689	724	698	3956	1021	997
LOC283922	21	19	36	23	9	47	13	10	9	49	8	11
CLEC18B	12	7	11	7	6	19	3	0	2	9	2	1
GLG1	3436	2961	4619	2731	2810	7963	1156	1163	1141	6120	1507	1632
RFWD3	611	529	951	524	483	1466	276	280	256	1417	323	339
MLKL	131	114	218	167	147	511	100	91	121	737	168	142
FA2H	16	26	21	31	15	98	13	16	19	32	5	23
WDR59	413	388	613	379	401	1196	215	213	273	1155	236	267
ZNRF1	152	140	192	147	140	363	145	159	134	478	102	121
LDHD	3	4	4	9	1	4	5	4	3	10	6	2
ZFP1	125	96	115	88	120	284	26	23	30	237	26	55
CTRB2	0	0	0	0	0	0	0	0	0	9	0	0
CTRB1	0	0	0	0	0	0	1	0	0	0	1	0
BCAR1	578	649	852	709	482	1368	606	654	808	3617	796	576
CFDP1	1429	1238	1850	1168	1243	3737	149	222	191	817	230	209
TMEM170A	19	21	24	18	22	42	69	76	130	552	86	112
CHST6	16	16	18	15	16	29	6	3	9	2	1	2
CHST5	1	0	4	1	0	3	0	0	1	1	0	0
TMEM231	52	55	110	51	68	200	29	26	42	139	31	61
GABARAPL2	478	482	878	418	464	1378	255	362	477	1879	385	484
ADAT1	211	157	286	164	176	583	96	106	92	534	136	119
KARS	2461	1950	3478	2017	2222	6681	1294	1306	1646	6486	1575	1528
TERF2IP	919	1182	1890	1001	1129	2564	231	232	415	1220	318	421
CNTNAP4	0	0	0	0	0	0	0	0	0	0	0	0
MIR4719	0	0	0	0	0	0	0	0	0	0	0	0
MON1B	406	368	577	393	282	1067	168	160	150	1236	306	258
SYCE1L	10	4	3	7	1	7	10	7	6	31	5	12
ADAMTS18	0	0	0	0	0	0	0	1	0	4	0	0
NUDT7	24	28	22	16	21	60	10	10	26	66	18	17
VAT1L	0	0	0	0	0	0	0	0	0	0	0	0
CLEC3A	0	0	0	0	0	0	0	0	0	0	0	0
WWOX	45	59	59	38	32	103	23	28	20	64	14	28
MAF	628	793	1419	418	410	1052	71	77	141	365	43	141
DYNLRB2	0	0	2	0	0	1	1	0	1	0	0	1
CDYL2	38	33	37	47	30	77	34	27	28	316	65	83
CMC2	121	111	236	121	131	287	86	95	147	538	108	133
CENPN	128	125	233	87	109	355	121	101	116	446	90	69
ATMIN	792	746	1288	734	721	2169	282	346	393	1866	362	398
C16orf46	39	33	49	40	30	105	9	9	10	63	3	1
GCSH	52	35	65	22	45	141	52	62	126	171	48	60
PKD1L2	4	8	10	3	2	6	0	0	1	1	0	0
GAN	91	83	166	76	79	249	30	15	46	205	31	44
MIR4720	0	0	3	0	0	0	0	0	2	0	0	1
CMIP	2409	2188	3331	2260	1996	6062	867	771	688	4969	1089	879
LOC100129617	17	11	19	11	12	35	3	1	3	2	1	1
PLCG2	81	67	103	64	57	173	21	19	32	146	27	28
SDR42E1	203	191	290	145	140	479	59	60	95	337	92	93
HSD17B2	60	44	51	58	73	205	17	14	45	135	32	21
MPHOSPH6	509	416	697	394	412	1406	185	201	359	1231	247	252
CDH13	1568	1247	1833	1130	1168	3256	544	495	558	3540	842	1046
MIR3182	0	0	0	0	0	0	0	0	0	0	0	0
HSBP1	1476	1285	2125	1387	1177	3636	724	769	1265	4371	860	1130
MLYCD	63	38	60	42	39	108	35	33	48	171	40	27
OSGIN1	57	49	72	70	39	149	68	70	77	624	116	47
NECAB2	0	0	0	0	0	0	1	1	0	8	1	1
SLC38A8	0	0	0	0	0	0	0	0	0	0	0	0
MBTPS1	1499	1415	2034	1434	1453	4129	537	514	655	3093	781	847
HSDL1	246	202	440	207	213	550	89	101	160	736	142	175
DNAAF1	0	1	2	1	1	1	2	0	0	2	1	1
TAF1C	166	197	260	187	127	388	194	149	222	929	208	165
ADAD2	0	3	0	0	0	0	0	0	2	3	0	1
KCNG4	0	0	0	0	0	0	0	0	0	0	0	0
WFDC1	0	0	0	0	0	0	0	0	0	0	0	0
ATP2C2	213	217	351	231	184	566	55	74	72	371	89	168
COTL1	2281	2127	3517	2679	2137	6963	1855	1964	2741	10819	2431	2093
KLHL36	209	215	226	220	170	455	288	320	340	1761	397	565
USP10	933	718	1318	756	811	2400	479	502	560	3107	661	669
CRISPLD2	9	5	8	8	4	13	2	3	4	14	1	5
ZDHHC7	1777	1831	2886	1590	1552	4400	554	535	673	3590	850	644
KIAA0513	290	289	446	245	223	624	91	105	108	619	125	167
FAM92B	0	0	0	0	0	0	0	0	0	0	0	0
LINC00311	2	0	0	1	3	1	0	1	0	0	0	1
MIR5093	0	0	0	0	0	0	0	0	0	0	0	1
GSE1	548	567	786	492	467	1315	147	165	144	626	146	273
GINS2	56	65	62	48	51	162	85	77	42	231	52	24
C16orf74	160	175	287	188	162	493	203	201	320	1125	224	152
MIR1910	0	0	0	0	0	0	0	0	0	0	1	0
EMC8	192	190	255	180	195	519	218	227	343	1323	273	256
COX4I1	2104	1778	3073	2120	1999	5834	1338	1469	2353	6219	1657	1409
IRF8	0	0	0	0	0	0	0	0	0	0	0	0
FENDRR	0	0	0	0	0	0	0	0	0	0	0	0
FOXF1	0	0	0	0	0	0	0	0	0	0	0	0
MTHFSD	190	168	269	200	155	409	67	92	85	321	79	85
FLJ30679	0	0	1	1	0	0	0	0	2	10	1	1
FOXC2	6	6	4	3	4	22	2	1	2	29	2	1
FOXL1	33	30	50	16	25	65	7	14	15	63	15	10
C16orf95	2	11	3	4	4	6	8	3	8	19	4	13
FBXO31	289	235	354	228	230	656	155	145	180	776	193	192
MAP1LC3B	1296	1144	2016	1188	1302	3398	667	770	980	4822	974	907
ZCCHC14	143	148	261	144	138	386	119	98	103	875	127	198
JPH3	0	0	1	0	0	0	3	2	0	6	1	1
KLHDC4	158	131	196	151	118	393	95	111	104	318	103	147
SLC7A5	1680	1725	2475	1703	1281	4041	2483	2380	2559	15516	3636	1915
CA5A	0	0	0	0	0	0	0	0	0	0	0	0
BANP	88	95	146	136	65	267	66	69	65	359	93	85
ZNF469	18	30	32	28	14	52	4	6	5	40	7	7
ZFPM1	54	46	23	38	21	80	56	30	63	169	42	35
MIR5189	0	0	0	0	0	0	0	0	0	0	0	0
ZC3H18	1083	945	1468	1041	978	2778	468	453	474	1945	425	417
IL17C	1	1	0	7	2	10	0	0	1	1	2	0
CYBA	338	433	584	602	301	913	569	585	437	1608	322	530
MVD	601	721	872	775	534	1924	615	633	806	2652	691	450
SNAI3-AS1	16	27	29	24	24	52	16	15	22	41	16	9
SNAI3	4	6	6	3	4	9	1	3	2	9	4	2
RNF166	33	44	53	44	31	109	39	37	34	207	36	44
CTU2	33	38	54	54	38	125	83	86	100	383	66	67
PIEZO1	1115	1294	1793	1765	1035	3417	1346	1240	1145	7517	1902	1905
MIR4722	0	0	0	0	0	0	0	0	0	0	0	1
CDT1	32	27	57	35	22	56	88	97	49	235	39	19
APRT	584	607	868	701	504	1639	614	596	1161	2706	556	691
GALNS	284	345	447	312	289	747	140	125	140	649	144	140
TRAPPC2L	334	322	414	318	297	806	219	227	325	887	245	224
PABPN1L	0	0	0	0	0	0	0	0	0	0	1	0
CBFA2T3	54	54	67	62	39	136	11	5	7	43	10	15
ACSF3	160	143	188	157	119	376	75	85	97	466	91	117
LINC00304	1	1	0	1	0	6	0	1	0	8	0	1
CDH15	0	1	0	0	1	1	0	0	0	1	1	0
SLC22A31	0	0	0	1	0	0	1	0	0	0	2	1
ZNF778	68	82	145	90	71	224	27	26	17	207	54	66
ANKRD11	2621	2548	3908	2913	2547	6820	706	662	564	3811	844	906
LOC100287036	6	1	4	4	0	17	0	0	1	20	7	1
SPG7	693	634	990	723	628	1824	431	410	623	2024	521	562
RPL13	6558	5729	8776	6089	5274	16855	6823	7467	11345	25198	5805	6773
SNORD68	6	8	10	11	4	30	1	1	7	62	10	4
CPNE7	78	68	96	86	78	206	66	59	104	153	42	78
DPEP1	0	0	0	0	0	0	0	0	0	0	0	0
CHMP1A	1127	1105	1724	1246	889	3041	824	858	1154	4399	1122	956
CDK10	364	366	447	394	310	920	216	188	272	862	248	204
SPATA2L	20	21	48	33	19	62	53	70	56	178	48	24
VPS9D1	135	140	169	155	83	350	73	66	105	271	54	61
ZNF276	216	194	295	265	202	634	90	80	116	461	128	171
FANCA	76	66	101	76	79	224	103	85	47	242	65	42
SPIRE2	14	14	16	20	14	48	5	15	9	31	7	8
TCF25	1041	1010	1220	932	908	2592	474	475	565	1784	459	508
MC1R	25	39	46	45	14	54	17	20	32	80	26	38
TUBB3	2302	1656	2608	3059	2437	7380	2459	2566	3761	14198	3643	2851
DEF8	564	553	834	657	463	1645	434	551	705	2521	604	582
CENPBD1	125	107	178	106	131	323	41	51	35	217	51	66
AFG3L1P	184	177	288	189	178	550	77	59	74	379	102	82
DBNDD1	249	242	321	348	238	734	149	185	161	281	55	148
GAS8	258	258	347	262	247	776	52	65	75	222	47	40
PRDM7	0	0	0	0	0	0	0	0	0	1	0	0
DOC2B	0	0	1	0	0	1	0	0	0	0	0	0
RPH3AL	60	36	64	60	36	143	7	19	10	49	7	16
LOC100506388	0	0	0	0	0	0	0	0	0	0	0	0
C17orf97	65	55	76	53	76	165	19	17	15	29	8	10
VPS53	1063	935	1587	960	1023	3027	283	304	330	1881	414	374
FAM57A	474	351	647	507	477	1436	263	253	284	1290	291	341
GEMIN4	297	302	450	324	254	851	226	247	337	1931	412	381
DBIL5P	10	11	11	4	5	6	5	1	10	21	3	8
GLOD4	707	567	848	586	602	1710	321	338	475	1424	397	401
NXN	1522	1461	2155	1409	1256	4211	819	869	879	3969	899	892
TIMM22	603	463	837	563	570	1843	267	275	369	1348	349	303
ABR	1286	1075	1570	1356	1163	3509	392	359	288	1808	440	412
MIR3183	0	0	0	0	0	0	0	0	0	0	0	0
BHLHA9	0	0	0	0	0	0	0	0	0	0	0	0
YWHAE	10708	9079	15818	8481	9135	27191	3548	3702	4457	19651	4990	4066
CRK	1220	1008	1709	931	984	2951	528	557	643	3988	864	890
MYO1C	3061	2683	4182	3395	2791	8887	1656	1553	1475	8555	2016	1800
INPP5K	182	185	298	189	166	596	135	133	178	696	166	172
PITPNA-AS1	57	48	56	40	27	104	36	27	39	71	29	25
PITPNA	1248	1026	1505	1012	1034	3239	455	439	547	2925	739	794
SLC43A2	225	228	295	263	207	587	176	203	243	763	186	330
SCARF1	2	9	9	6	5	17	3	0	0	19	3	4
RILP	47	55	51	40	61	139	20	27	36	96	29	18
PRPF8	5541	4700	7693	4923	5041	14339	1879	1771	1374	9335	2517	2300
TLCD2	1175	1010	1780	921	1009	3080	115	125	167	384	114	150
MIR22HG	618	715	1113	663	717	1806	288	286	490	3433	733	1019
MIR22	0	0	0	0	0	0	0	0	0	0	0	0
WDR81	204	208	290	290	157	506	151	146	196	1064	214	215
SERPINF2	42	31	52	36	18	54	16	20	11	48	16	18
SERPINF1	664	675	916	545	551	1422	116	144	175	613	127	143
SMYD4	129	139	248	128	128	406	54	64	66	311	75	88
RPA1	1227	1049	1897	1018	1131	3101	554	508	620	2622	638	702
RTN4RL1	47	51	52	39	24	76	22	19	27	69	12	48
DPH1	144	143	198	151	111	392	71	76	96	340	83	108
OVCA2	12	14	7	7	7	10	9	7	31	51	5	11
MIR132	0	0	0	0	0	0	0	0	0	0	0	0
MIR212	0	0	0	0	0	0	0	0	0	0	0	0
HIC1	11	6	21	18	11	23	16	22	42	92	14	10
SMG6	1349	1239	1780	1171	1145	3541	306	278	290	1323	395	338
SRR	128	136	186	91	103	308	20	24	29	123	21	19
TSR1	1608	1414	2361	1365	1514	4319	373	329	372	2314	578	630
SNORD91B	5	3	3	1	1	7	0	0	0	0	0	1
SNORD91A	0	0	0	0	0	0	0	0	1	1	0	0
SGSM2	410	408	530	394	337	1031	290	232	281	885	225	335
MNT	413	465	607	462	343	1115	141	141	121	684	134	120
LOC284009	0	2	1	1	2	13	0	1	0	0	1	1
METTL16	511	484	794	401	436	1315	155	168	222	914	258	234
PAFAH1B1	2733	2096	3753	1757	2063	6189	735	772	990	6093	1338	1487
CLUH	892	954	1278	1216	787	2186	969	920	1111	4919	1111	1317
MIR1253	0	0	0	0	0	0	0	0	0	0	0	0
RAP1GAP2	365	329	571	375	309	1090	227	211	180	1217	315	202
OR1D5	0	0	0	0	0	0	0	0	0	0	0	0
OR1D2	0	0	0	0	0	0	0	0	0	0	0	0
OR1G1	0	0	0	0	0	0	0	0	0	0	0	0
OR1A2	0	0	0	0	1	0	0	0	0	0	0	0
OR1A1	0	0	0	0	0	0	0	0	0	0	0	0
OR1D4	0	0	0	0	0	0	0	0	0	0	0	0
OR3A2	0	0	0	0	0	0	0	0	0	0	0	0
OR3A1	0	0	0	0	0	0	0	0	0	0	0	0
OR3A4P	0	0	0	0	0	0	0	0	0	0	0	0
OR1E1	0	0	0	0	0	0	0	0	0	0	0	0
OR3A3	0	0	0	0	0	0	0	0	0	0	0	1
OR1E2	0	0	0	0	0	0	0	0	0	0	0	0
SPATA22	0	0	0	0	0	0	0	0	2	1	0	0
ASPA	1	0	6	0	0	1	0	0	0	0	0	0
TRPV3	49	28	42	39	50	125	8	10	16	218	38	13
TRPV1	87	118	149	95	71	227	23	28	41	107	29	40
SHPK	105	77	129	96	86	291	75	66	75	382	86	60
CTNS	206	209	203	227	221	603	113	124	160	743	168	156
TAX1BP3	1	5	1	3	1	5	2	3	4	18	2	4
P2RX5-TAX1BP3	15	29	3	11	16	46	4	3	3	34	4	7
EMC6	867	737	1026	699	709	2155	5	6	11	19	11	18
P2RX5	7	4	6	7	6	11	2	1	2	12	5	5
ITGAE	81	57	104	80	64	206	62	56	89	423	109	101
CAMKK1	43	29	57	33	27	75	46	28	44	196	32	34
P2RX1	0	0	0	0	0	0	0	0	0	7	0	0
ATP2A3	2	0	2	0	0	1	0	0	0	1	0	1
ZZEF1	653	588	877	568	571	1633	332	331	324	1778	388	452
CYB5D2	137	127	210	133	103	297	53	55	71	193	39	90
ANKFY1	1021	933	1396	956	948	2804	359	344	324	1970	469	664
UBE2G1	448	433	1029	352	356	1226	315	347	467	2062	379	531
SPNS3	0	0	0	0	0	0	0	0	2	3	0	0
SPNS2	62	94	97	118	55	165	80	83	110	156	24	130
MYBBP1A	550	534	901	660	502	1514	603	626	730	3002	661	694
GGT6	60	71	118	62	50	165	34	41	58	30	6	47
SMTNL2	0	0	0	0	0	0	0	0	0	0	0	0
ALOX15	6	6	7	4	2	0	1	0	0	5	0	0
PELP1	408	330	562	412	347	1077	334	310	263	1079	235	242
ARRB2	129	107	163	117	83	321	56	80	50	232	62	39
MED11	225	229	367	194	215	682	52	75	78	224	59	61
CXCL16	726	704	952	920	818	2602	175	197	184	849	155	396
ZMYND15	10	13	20	8	21	41	3	2	4	14	3	11
TM4SF5	0	0	0	0	0	0	0	0	0	0	0	0
VMO1	7	3	4	10	5	16	1	0	3	2	0	5
GLTPD2	0	0	1	0	2	3	6	7	10	5	0	2
PSMB6	1896	1517	2423	1745	1667	4918	679	712	887	2882	788	623
PLD2	498	487	637	569	498	1420	241	267	246	1177	301	208
MINK1	3247	3245	4553	3413	2808	8541	1308	1174	1225	6292	1473	1805
CHRNE	11	3	5	2	3	10	3	4	1	8	1	5
C17orf107	3	3	13	6	2	22	2	2	1	5	0	4
GP1BA	0	0	3	3	1	0	1	0	7	5	5	2
SLC25A11	248	239	341	243	198	644	296	310	346	1159	311	252
RNF167	1454	1402	2018	1413	1398	4211	722	666	844	2753	632	768
PFN1	14453	12811	18326	13939	13024	44151	5926	5945	6426	26371	6366	4118
ENO3	22	19	21	22	25	70	6	6	13	41	10	14
SPAG7	612	572	887	683	608	1743	236	218	281	859	257	259
CAMTA2	685	746	1054	835	626	1990	326	326	300	1437	362	299
INCA1	9	9	14	9	6	19	7	5	15	34	12	11
KIF1C	7696	6821	10410	7718	6869	20877	2047	1935	2299	8983	2319	2223
SLC52A1	5	3	5	3	0	13	2	0	2	1	0	0
ZFP3	37	41	49	22	27	65	7	6	3	23	2	16
ZNF232	78	61	120	75	64	250	19	17	34	108	24	28
USP6	0	4	2	3	1	0	0	1	1	17	1	5
ZNF594	37	35	57	32	35	116	14	10	6	43	7	14
LOC100130950	5	3	7	2	2	14	1	0	1	0	0	1
SCIMP	0	0	0	0	0	0	0	0	0	0	0	1
RABEP1	1298	1067	1709	934	1047	3138	266	216	291	1401	356	438
NUP88	322	288	558	301	275	908	189	201	227	1067	246	174
RPAIN	408	384	478	359	310	1012	101	122	179	435	127	148
C1QBP	2506	2080	3332	1893	2214	6102	625	749	1449	3191	729	802
DHX33	485	409	712	386	426	1294	225	222	238	1706	393	433
DERL2	252	251	418	214	223	682	161	181	359	1358	280	349
